[2025-02-28 15:16:35,840: INFO: main: wel to our log]
[2025-02-28 16:26:19,377: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-28 16:26:19,379: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-28 16:26:19,381: INFO: common: created directory at: artifacts]
[2025-02-28 16:26:19,381: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-28 16:26:19,382: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1loEKqZTz4w4AV_Gni296WaBD9Od2Xfk7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-28 16:30:36,417: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1loEKqZTz4w4AV_Gni296WaBD9Od2Xfk7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-28 16:51:07,357: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-28 16:51:07,358: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-28 16:51:07,359: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-28 16:51:07,359: INFO: common: created directory at: artifacts]
[2025-02-28 16:51:07,359: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-28 16:51:07,359: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1loEKqZTz4w4AV_Gni296WaBD9Od2Xfk7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-28 17:12:20,874: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-28 17:12:20,875: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-02-28 17:12:20,876: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-28 17:12:20,876: INFO: common: created directory at: artifacts]
[2025-02-28 17:12:20,876: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-28 17:12:20,876: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1loEKqZTz4w4AV_Gni296WaBD9Od2Xfk7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-28 17:22:00,565: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1loEKqZTz4w4AV_Gni296WaBD9Od2Xfk7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-28 17:22:07,091: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
